Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2014-03-03,5.847,1.923810600138926,1.923810600138926,0.3644036213103905,2.0910000000000006,3,Mar,1,Q1,2014,Lluviosa
2014-03-04,5.801,1.9170696601935016,1.9170696601935018,-0.006740939945424129,-0.04600000000000026,3,Mar,1,Q1,2014,Lluviosa
2014-03-05,4.45,1.6956156086751528,1.6956156086751528,-0.22145405151834896,-1.351,3,Mar,1,Q1,2014,Lluviosa
2014-03-06,4.034,1.616214896713124,1.616214896713124,-0.0794007119620288,-0.41600000000000037,3,Mar,1,Q1,2014,Lluviosa
2014-03-07,3.81,1.5706970841176695,1.5706970841176697,-0.04551781259545429,-0.22399999999999975,3,Mar,1,Q1,2014,Lluviosa
2014-03-08,3.752,1.5585655820603437,1.5585655820603437,-0.012131502057326049,-0.058000000000000274,3,Mar,1,Q1,2014,Lluviosa
2014-03-09,5.54,1.8779371654691075,1.8779371654691073,0.3193715834087636,1.7880000000000003,3,Mar,1,Q1,2014,Lluviosa
2014-03-10,7.191,2.103035990533465,2.103035990533465,0.22509882506435752,1.6509999999999998,3,Mar,1,Q1,2014,Lluviosa
2014-03-11,5.083,1.8054979953385684,1.8054979953385684,-0.29753799519489643,-2.1079999999999997,3,Mar,1,Q1,2014,Lluviosa
2014-03-12,4.127,1.6345206928015634,1.6345206928015634,-0.17097730253700494,-0.9560000000000004,3,Mar,1,Q1,2014,Lluviosa
2014-03-13,3.853,1.579597070423079,1.579597070423079,-0.05492362237848436,-0.2739999999999996,3,Mar,1,Q1,2014,Lluviosa
2014-03-14,3.934,1.596150018107165,1.596150018107165,0.016552947684085995,0.08099999999999996,3,Mar,1,Q1,2014,Lluviosa
2014-03-15,3.925,1.5943242746240522,1.5943242746240522,-0.0018257434831128183,-0.009000000000000341,3,Mar,1,Q1,2014,Lluviosa
2014-03-16,3.709,1.5494755712614174,1.5494755712614174,-0.0448487033626348,-0.21599999999999975,3,Mar,1,Q1,2014,Lluviosa
2014-03-17,3.652,1.537297234656418,1.537297234656418,-0.012178336604999451,-0.05699999999999994,3,Mar,1,Q1,2014,Lluviosa
2014-03-18,3.486,1.5009614360980166,1.5009614360980166,-0.03633579855840141,-0.16599999999999993,3,Mar,1,Q1,2014,Lluviosa
2014-03-19,3.832,1.5752604606325138,1.5752604606325138,0.07429902453449722,0.34599999999999964,3,Mar,1,Q1,2014,Lluviosa
